name,address,website,contain_keyword,phone_number,reviews_count,reviews_average
Toko kabel Aksesoris grounding exothermic pasar kenari Sarana Jaya Abadi jakarta pusat,"Pasar Kenari Lama, Jl. Salemba Raya lt. 2 Aks, RT.1/RW.3, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",,,0813-8698-7295,56,5.0
Sinyo Teknik,"Kenari, Jl. Kenari 2, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",,,0823-1259-8316,4,4.5
BUKU YASIN,"Fajriz Printing, Jl. Pramuka No.51 A, RT.2/RW.6, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,No,0812-8936-5205,14,4.9
Toko Daging Nusantara Menteng Matraman,"Jl. Salemba Raya No.176, RT.1/RW.3, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",surinusantarajaya.com,Yes,,4,5.0
RR SENTOSA JAYA ALUM,"Jl. Paseban Raya No. 47B Lt.2, RT.1/RW.3, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,No,0816-1764-7170,,
Central Media Jakarta,"Jl. Salemba Tengah No.4C, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,(021) 31907849,66,4.7
Cahaya Abadi,"Plaza Kenari Mas, Jl. Kramat Raya No.120, RT.18/RW.3, Kenari, Senen, Central Jakarta City, Jakarta 10440",,No,(021) 39842727,2,5.0
PT. InfoPro Mandiri Solusi,"Jl. Pramuka No.54, Palmeriam, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13140",infopro-solutions.com,Yes,(021) 5375533,,
Markas Kaos | Baju Kaos Custom | Bisa Satuan | Konveksi,"MURTADHO VIII NO. A697 RT 19, PASEBAN, Patokan dekat SDN No.06, RT.15/RW.18, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,0859-6726-5730,7,5.0
"Perlengkapan Alat Alat Listrik, Kabel Supreme, Voksel, Metal, Sutrado dan Safety Globe Elektrik","Jl Salemba Raya 2 Gedung Kenari Lama AKS ALO Lantai 2 155, Jakarta, Daerah Khusus Ibukota Jakarta 10430",,,0812-1005-5350,1,5.0
Daya Teknik. Toko,"Jl. Kenari I No.55C, RT.2/RW.3, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",,No,0821-2434-2020,81,4.3
MP MANDIRI LIGHTING,,,,0812-9825-0142,,
PT 28JAYA - PABX PANASONIC - STABILIZER LISTRIK - CCTV PANASONIC - MESIN ABSENSI AMANO,"Plaza Kenari Mas Lt: F2 Blok: H118, Jl. Kramat Raya No.101, RT.18/RW.1, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,No,(021) 31900380,7,4.7
Percetakan Jakarta Sanggar Sarana Printing,"Jl. Salemba Tengah No.65D, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,No,0822-2770-5858,251,4.9
Ryan Komputer,"Jl Kramat Raya 101 Paseban Senen Jakarta Pusat DKI Jakarta, RT.4/RW.5, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,(021) 70149486,,
Razkha Aghavi Teknik,"4, Jl. Kenari I No.53, RT.4/RW.3, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",,,0896-5978-8702,1,5.0
Segari - Menteng Square (Toko Galon & Gas Bayu),"Apartemen Menteng Square, Basement Tower B, Jl. Matraman Raya, RT.5/RW.6, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",,,0812-9118-1911,1,5.0
Abinet Komputer,"Kenari Mas Pusat Alat Listrik & Electrical, Jl. Kramat Raya No.101, RT.18/RW.1, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,(021) 31902731,,
Komba Jaya,"dekat rumah makan nasi padang bundo, Jln Kenari 2 kantin mandiri Loss A No. 5, Jakarta, Daerah Khusus Ibukota Jakarta 10430",,,0838-9525-4073,8,5.0
Vania Fotocopy & Percetakan Jakarta,"Jl. Pramuka Kel No.A51 5, RT.2/RW.6, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,0857-7777-5363,34,4.8
Kaos Sablon Satuan Terdekat | KIB Store,"Jl. Murtado 13 No.13, RT.07/RW.6, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,No,0812-8788-3847,6,5.0
TOKO AFA,"1, Jl. Kenari 2 No.5, RT.1/RW.3, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",,,0813-8041-8455,2,4.5
MDS Digital Printing / Cetak Banner & Spanduk Murah Langsung Jadi Jakarta Pusat,"Jl. Pramuka, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,No,0822-6863-3345,9,4.7
Pramuka Baru Printing,"Jl. Pramuka No.269, Paseban, Kec. Senen, Jakarta, Daerah Khusus Ibukota Jakarta 10570",,No,0882-9188-8477,8,4.9
KRISBOW KENARI,"Gedung Kenari Mas Lantai Dasar Blok C 2, Jl. Kramat Raya No.101, Daerah Khusus Ibukota Jakarta 10440",linktr.ee,Yes,0822-9898-4302,245,4.6
Mesin jait,"RR4W+VJ3, Jl. Kenari I, cangaan, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",,,0812-5963-5081,,
Terminal Senen,"RW.3, Senen, Central Jakarta City, Jakarta 10410",,,,85,4.0
Kurnia Jaya,"Pertokoan Paseban Lt.Dasar Blok B No.10-11-12-13, Jl. Salemba Raya, RT.15/RW.1, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,(021) 3918862,,
Jasakarta printing - Cetak Spanduk/Banner - cetak print stiker-print 24 jam,"No.269 A, Jl. Pramuka, Paseban, Kec. Senen, Jakarta, Daerah Khusus Ibukota Jakarta 10440",,No,0856-0473-1396,8,4.9
Gunajaya Tehnik PD,"Jl. Kramat Raya No.101 18, RT.16/RW.1, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,(021) 31907923,,
