name,address,website,contain_keyword,phone_number,reviews_count,reviews_average
International,"Jl. Tanjung Duren Raya No.2 7, RT.14/RW.4, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,(021) 5668290,,
Esteh.ruma Tanjung Duren,"Jl. Tanjung Duren Raya No.359A 7, RT.7/RW.3, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,0811-1915-7119,,
PT. EVOTECH DISTRIBUSI,"Tanjung Duren Selatan RT.12 / RW.6, Grogol petamburan, RT.12/RW.6, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,(021) 56982386,3,4.7
Activo Asset Management Solutions,"APL Tower 26th floor, Central Park Jalan Letjen S. Parman, RT.16/RW.5, Tanjung Duren Selatan, Grogol petamburan, RT.12/RW.6, Tj. Duren Sel., Kec. Grogol petamburan, Jakarta, Daerah Khusus Ibukota Jakarta 11470",,No,(021) 29339528,6,5.0
Saasten Technologies,"Podomoro City, Gedung NEO SOHO CAPITAL Lt. 36 No.05A, Jl. Letjen S. Parman No.Kav 28A, Daerah Khusus Ibukota Jakarta 11470",saasten.com,Yes,(021) 50301018,6,4.3
PT Wiltar Usaha Grup,"Jl. Tanjung Duren Utara I No.20 12, RT.12/RW.2, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,,4,5.0
RetroSignwork - Digital printing,"Sentral Bisnis, Tj. DUREN, Jl. Tanjung Duren Utara I No.38 Blok B8, RT.12/RW.2, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,(021) 56970078,,
Eliana Frozen Food,"Jl. Delima V No.24, RT.11/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,0817-7653-2969,7,4.9
Clover,"kios persis seberang superindo, Mediterania Garden Residence 1, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,0811-8217-000,6,5.0
Sweet Cornell,"Jl. Taman Apel III No.277 8, RT.8/RW.3, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,0811-2708-070,2,5.0
