name,address,website,contain_keyword,phone_number,reviews_count,reviews_average
PT. Sinergi Transformasi Indonesia,"Jl. Ampasit No.15 C, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150",,No,(021) 3504373,1,5.0
PT. Virtual Properti Plus,"Kompleks Duta Merlin Blok E No. 38, Jl. Gajah Mada No.3-5, RT.2/RW.8, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",,No,(021) 22637333,8,4.5
Trisatya Scientificindo,"Jl. KH Hasyim Ashari 116 Cideng Gambir Jakarta Pusat DKI Jakarta, RT.7/RW.5, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10140",,,(021) 63858703,,
PT. Pentamapan Cemerlang,"Jl. Batu Tulis XIII No. 25 Jakarta Pusat DKI Jakarta RT.7, RT.7/RW.2, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120",,No,(021) 3858292,21,4.0
PT. Mercu Dinamika,"Komp. Pertokoan Duta Merlin, Jl. Gajah Mada Blok A No.45 Kav 3-5, RT.2/RW.8, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",,,(021) 60860706,1,5.0
PT. MAGNA PERKASA,"Jl. Kaji No.18 6, RT.6/RW.7, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",magnaperkasa.com,Yes,(021) 6325935,1,5.0
PT Sistech Kharisma,"Jl. Ir H. Juanda IV No.3B-C 7, RT.7/RW.2, Kb. Klp., Kecamatan Gambir, Jakarta, Daerah Khusus Ibukota Jakarta 10120",sistechkharisma.com,Yes,(021) 3505668,94,4.5
Purence Dew - PT Divine Eternair Water Indonesia,"No., Jl. Ir. H. Juanda 3 No.16A, RT.2/RW.2, Kb. Klp., Kecamatan Gambir, DKI Jakarta, Daerah Khusus Ibukota Jakarta 10120",,No,0851-0352-8889,3,5.0
Pindad. PT - Representative Office,"Jl. Batu Ceper No.28 1, RT.1/RW.2, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",,,(021) 3806929,10,5.0
Ultimate Inc Jakarta,"5, Jl. Kaji No.32, RT.5/RW.7, North Petojo, Gambir, Central Jakarta City, Jakarta 10130",,,(0622) 16327748,,
Gerai Daging Berdikari,"Jl. Medan Merdeka Barat No.1 2, RT.2/RW.3, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",,No,(021) 3459955,7,4.0
"PT. BATARA SURYA SEMESTA (DISTRIBUTOR CASALI MEMBRAN BAKAR, POLYSHIELD, ONDULINE)","Gedung Delta, Jl. Suryopranoto No.1-9 Blok A13-14, RT.14/RW.8, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160",,No,(021) 3846611,64,4.9
Sweet Room,"Jl. Majapahit XXXIV No.2 14, RT.14/RW.8, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160",,,(021) 3850550,1,3.0
Istana Metro,"RRPF+7R8, Hayam Wuruk St, RT.4/RW.3, Kebon Kelapa, Gambir, Central Jakarta City, Jakarta 10120",,,(021) 6311222,,
Kineta Survey,"Jl. Petojo Binatu V No.40, RT.14/RW.8, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",,No,0812-1867-7202,,
PT. CITRA DAYA PRATAMA,"Komplek Ruko 12 Blok T,U Jl. Tanah Abang 1 no.12 Blok T,U, RT.11/RW.8, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160",,,(021) 3520429,2,5.0
KarirLab Office | Cideng,"Jl. Belawan No.16, RT.18/RW.1, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150",karirlab.co,Yes,,1,5.0
HasyimAshari 17,"Jl. KH. Hasyim Ashari No.5-50, RT.6/RW.8, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",,,,39,1.7
PT. Andal Software Sejahtera (Branch),"Jl. Roxy Mas Pertokoan No.23 11, RT.7/RW.6, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150",,No,,,
Kharisma Propertindo. PT,"JL. Majapahit, 18-22, Komplek Majapahit Permai Blok A/113-114, Jakarta, 10160, RT.14/RW.8, South Petojo, Gambir, Central Jakarta City, Jakarta 13220",,,(021) 3807588,24,3.9
Gambir,,,,,,
All You Are,,allyouare.com,Yes,0812-3958-6811,5,1.0
Bando Indonesia,"Jl. Hayam Wuruk No.Wisma Hayam Wuruk Lantai 6, Suite 600 Jl. Hayam Wuruk No. 8 Lantai Suite 600, RT.6/RW.2, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120",,,(021) 3517590,3,4.3
Waroenk Masbro (Sate/Sop Kambing/Ayam),"Jl. H. Juanda No.31C 9, RT.9/RW.2, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120",,,0878-2061-8147,1,5.0
Blibli.com Merchant Corner,"Gedung Sarana Jaya, Jl. Budi Kemuliaan No.1 Lantai 7-19, RT.2/RW.3, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",,No,0804 187 1871,968,4.4
Mesin Es Balok | Jual Mesin Es Balok | Mesin Es Perikanan | Mesin Es Kristal | Mesin Es Tube | Mesin Es Cube,,,No,0822-9880-8180,36,5.0
Omni Building,"Jl. Sukarjo Wiryopranoto No.3B, RT.9/RW.2, Maphar, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11160",,,,,
Sarana Jaya Pusat,"Gedung sarana Jaya Jl. Budi Kemuliaan I no. 1, RT.2/RW.3, Gambir, Central Jakarta City, Jakarta 10110",,No,(021) 3522667,627,4.5
Pd. Pembangunan Sarana Jaya,"Jl. Budi Kemuliaan No.3 2, RT.2/RW.3, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",,No,(021) 3522667,10,4.7
"PT Gamatechno Indonesia, Jakarta Branch Office","Eco Selaras Sahid Sudirman Residence, Jl. Jenderal Sudirman No.86, RT.10/RW.11, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250",gamatechno.com,Yes,(021) 39709516,29,3.4
PT. Harmoni Artha Indonesia,"Jl. Prof. Dr. Latumeten No.33, Kompleks Rukan Season City, Blk. B No.11, RT.13/RW.1, Jemb. Besi, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11320",,,(021) 29074058,1,4.0
Blibli.com Head Office (PT Global Digital Niaga),"Gedung Sarana Jaya, Jl. Budi Kemuliaan No.I No.1, RT.2/RW.3, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",,No,(021) 50881370,137,4.0
Computer Dua Bendera Jakarta,"Hayam Wuruk St No.3QQ, RT.6/RW.2, Kebon Kelapa, Gambir, Central Jakarta City, Jakarta 10120",,No,0812-8388-9823,3,3.7
